KODE_SIMPUL;NAMA_SIMPUL;KATEGORI_SIMPUL;SUB_KATEGORI_SIMPUL;LATITUDE;LONGITUDE
AIR-ABU;A. A. Bere Tallo;Bandara;;-9.075125;124.903625
AIR-MLG;Abdulrachman Saleh;Bandara;;-7.92944444444444;112.711944444444
AIR-ABOY;Aboy;Bandara;;-4.28884166666667;140.640841666667
AIR-BANDARABOYAGA;Aboyaga;Bandara;;-4.01874444444444;135.727222222222
AIR-SOC;Adi Soemarmo;Bandara;;-7.51584166666667;110.75815
AIR-JOG;Adi Sutjipto;Bandara;;-7.78666666666667;110.431944444444
AIR-AEG;Aek Godang;Bandara;;1.39888888888889;99.4305555555556
AIR-AAP;Aji Pangeran Tumenggung Pranoto;Bandara;;-0.375555555555556;117.251388888889
AIR-IMU;Akimuga;Bandara;;-4.60298333333333;137.6591
AIR-ALAMA;Alama;Bandara;;-4.261;137.894055555556
AIR-LSR;Alas Lauser;Bandara;;3.39222222222222;97.865
AIR-AHI;Amahai;Bandara;;-3.34611111111111;128.927222222222
AIR-MXB;Andi Jemma;Bandara;;-2.55472222222222;120.324444444444
AIR-AGD;Anggi;Bandara;;-1.32991388888889;133.911030555556
AIR-AAS;Apalapsili;Bandara;;-3.88586111111111;139.31125
AIR-APD;Arung Palakka;Bandara;;-4.45888888888889;120.306944444444
AIR-PXA;Atung Bungsu;Bandara;;-4.02482055555556;103.378736666667
AIR-AYW;Ayawasi;Bandara;;-1.15972222222222;132.466111111111
AIR-BXB;Babo;Bandara;;-2.53731944444444;133.438218055556
AIR-BXD;Bade;Bandara;;-7.17546944444444;139.583866388889
AIR-NDA;Bandaneira;Bandara;;-4.52166666666667;129.904722222222
AIR-BWX;Banyuwangi;Bandara;;-8.31060138888889;114.340177777778
AIR-BXM;Batom;Bandara;;-4.44277222222222;140.884130555556
AIR-BEOGA;Beoga;Bandara;;-3.81836111111111;137.426
AIR-BTW;Bersujud;Bandara;;-3.41333333333333;116.000833333333
AIR-BUW;Betoambari;Bandara;;-5.48684722222222;122.575169722222
AIR-BILAI;Bilai;Bandara;;-3.74160555555556;136.859738888889
AIR-UGU;Bilorai;Bandara;;-3.73972222222222;137.030833333333
AIR-GNS;Binaka;Bandara;;1.16555555555556;97.7061111111111
AIR-NTI;Bintuni;Bandara;;-2.10083333333333;133.513611111111
AIR-BINUANG;Binuang;Bandara;;3.77305555555556;115.855833333333
AIR-GYO;Blangkejeren;Bandara;;3.94388888888889;97.3636111111111
AIR-BUI;Bokondiri;Bandara;;-3.68485;138.676183333333
AIR-LKM;Bolaang Mongondow;Bandara;;0.886111111111111;124.033333333333
AIR-BOMAKIA;Bomakia;Bandara;;-5.80711111111111;139.868444444444
AIR-BORME;Borme;Bandara;;-4.39561666666667;140.434197222222
AIR-RTO;Budiarto;Bandara;;-6.29092222222222;106.566188888889
AIR-PGQ;Buli;Bandara;;0.919361111111111;128.382416666667
AIR-CBN;Cakrabhuwana;Bandara;;-6.75658333333333;108.539963888889
AIR-MEQ;Cut Nyak Dhien;Bandara;;4.04805555555556;96.25
AIR-SIQ;Dabo;Bandara;;-0.478611111111111;104.578055555556
AIR-DRH;Dabra;Bandara;;-3.70611111111111;128.089722222222
AIR-DTD;Datah Dawai;Bandara;;0.807777777777778;114.529444444444
AIR-RTI;David Constantijn Saudale;Bandara;;-10.7669638888889;123.074958333333
AIR-PGK;Depati Amir;Bandara;;-2.16258333333333;106.138188888889
AIR-KRC;Depati Parbo;Bandara;;-2.09423055555556;101.470808333333
AIR-KWB;Dewadaru;Bandara;;-5.80194444444444;110.477777777778
AIR-DHX;Dhoho;Bandara;;-7.755;111.947777777778
AIR-GTO;Djalaluddin;Bandara;;0.638055555555555;122.852222222222
AIR-DOB;Dobo;Bandara;;-5.77416666666667;134.209722222222
AIR-SOQ;Domine Eduard Osok;Bandara;;-0.891375;131.286946111111
AIR-FLZ;Dr Ferdinand Lumban Tobing;Bandara;;1.55361111111111;98.8938888888889
AIR-KOE;El Tari;Bandara;;-10.1777777777778;123.663888888889
AIR-ELR;Elelim;Bandara;;-3.78527777777778;139.384166666667
AIR-SQN;Emalamo;Bandara;;-2.09916666666667;125.963888888889
AIR-EWI;Enarotali;Bandara;;-3.92611111111111;136.380277777778
AIR-ENG;Enggano;Bandara;;-5.30663888888889;102.189563888889
AIR-EWE;Ewer;Bandara;;-5.49611111111111;138.080277777778
AIR-FAOWI;Faowi;Bandara;;-3.23241111111111;137.727472222222
AIR-BKS;Fatmawati Soekarno;Bandara;;-3.86111111111111;102.339444444444
AIR-BIK;Frans Kaisiepo;Bandara;;-1.18942222222222;136.106011111111
AIR-RGT;Frans Sales Lega;Bandara;;-8.59861111111111;120.479722222222
AIR-MOF;Fransiskus Xaverius Seda;Bandara;;-8.63777777777778;122.241188888889
AIR-GLX;Gamar Malamo;Bandara;;1.83694444444444;127.786944444444
AIR-WTX;Gatot Soebroto;Bandara;;-4.39388888888889;104.402777777778
AIR-GEB;Gebe;Bandara;;-0.0802944444444444;129.457008333333
AIR-LKA;Gewayantana;Bandara;;-8.275;123
AIR-KBU;Gusti Sjamsir Alam;Bandara;;-3.295;116.165833333333
AIR-TJQ;H. A. S. Hanandjoeddin;Bandara;;-2.74527777777778;107.753055555556
AIR-KSR;H. Aroepala;Bandara;;-6.17194444444444;120.435277777778
AIR-SMQ;H. Asan;Bandara;;-2.49954166666667;112.975430555556
AIR-ENE;H. Hasan Aroeboesman;Bandara;;-8.84833333333333;121.663611111111
AIR-HMS;Haji Muhammad Sidik;Bandara;;-1.02181111111111;114.926494444444
AIR-HLP;Halim Perdana Kusuma;Bandara;;-6.26861111111111;106.891666666667
AIR-KDI;Haluoleo;Bandara;;-4.08416666666667;122.408611111111
AIR-BTH;Hang Nadim;Bandara;;1.123425;104.115372222222
AIR-BXW;Harun Thohir;Bandara;;-5.72365555555556;112.678069444444
AIR-BDO;Husein Sastranegara;Bandara;;-6.90194444444445;107.576111111111
AIR-DPS;I Gusti Ngurah Rai;Bandara;;-8.7475;115.169166666667
AIR-ILA;Ilaga;Bandara;;-3.97722222222222;137.620277777778
AIR-IUL;Illu;Bandara;;-3.70833333333333;138.200277777778
AIR-INX;Inanwatan;Bandara;;-2.12765220489083;132.163074494306
AIR-MWS;Indonesia Morowali Industrial Park;Bandara;;-2.79910875793553;122.141059949265
AIR-PKN;Iskandar;Bandara;;-2.71847222222222;111.687722222222
AIR-RGT-1;Japura;Bandara;;-0.352202777777778;102.332186111111
AIR-SRG;Jenderal Ahmad Yani;Bandara;;-6.97105;110.373541666667
